texts,labels
странное переплетение образов и судеб воспоминания о том какая разная бывает любовь в разном восприятии все хочется попробовать почувствовать одна из редких для меня книг когда фразки вырываются и начинают жизнь вместе с тобой в этом романе еще одна интересная особенность не только герои живые живые пронзительно до удивления город в котором они живут тоже герой тоже имеет свое некое бытие вовлекая их и заставляя любить такого санфранциско я никогда не могла представить,8
прежде чем написать кислотный роман «страх и отвращение в ласвегасе» хантер томпсон был журналистом – хочется думать что таким же как герой «ромового дневника» пол кемп именно его образ – главное в этом романе а вовсе не сюжет который развивается со скрипом как проворачивающееся в песке колесо машины кемп бродягажурналист за тридцать уставший от беспорядочных скитаний мечущийся между бунтарством и желанием покоя и запивающий галлонами рома невозможность чтолибо изменить увлекаясь по инерции каждой новой идеей он на самом деле никуда не хочет двигаться «в глубине души мне не хотелось ничего кроме чистой постели светлой комнаты и чегото устойчивого что можно называть своим хотя бы до тех пор пока я сам от этого не устану» но ведь все равно же когданибудь устанет – и осознание этого заставляет пытаться крутиться дальше крутятся и все окружающие кемпа – такие же как он журналисты без дома и семей не то отбросы общества пессимисты и алкоголики не то последние бунтари америки насквозь проспиртованные романтикой полуночных баров настроением этого романа легко проникнуться ведь мы все в этой лодке «мы все проходим по одним и тем же проклятым местам занимаемся одной и той же чертовщиной которой люди уже пятьдесят лет маются и все ожидаем что вотвот чтото случится» и ничего никогда не случается адски жарит солнце пуэрториканцы устраивают жуткие свары на улицах закончившие колледж белые девушки прилетают из ньюйорка и сливаются с природой в первобытном экстазе но потом грустнеют и улетают назад люди уезжают и возвращаются европа южная америка куба санхуан «лишь названия на карте» и где бы ты ни оказался ты возьмешь с собой себя «я бунтарь я не прогибаюсь где же моя награда» вопрошает один из героев книги к четвертому десятку «мне кажется что мне сто лет» бунтари начинают понимать что награды нет и кажется не будет – фирма лопнула деньги никто не вернет тогда только и остается что пытаться уловить чтото в воздухе настоящего – напиться на карнавале попробовать найти жилье от которого по крайней мере не будет тошнить вытянуться во весь рост на кровати пока девушка напевая готовит тебе завтрак и почувствовать хотя бы в течение пары секунд неожиданное спокойствие спокойствие которого ты и хочешь и боишься то ли оно значит остановку и забвение то ли – счастье и конец пути может это и есть награда – а может всетаки нет и она еще ждет впереди но идти становится уже не так тяжело,9
эта книга пропахла бензином потом и перегаром – даже если вы только вчера купили ее новенькую в книжном магазине она все равно уже была там – в огайо и колорадо в денвере и чикаго в ньюйорке и фриско она лежала под матрасом в том номере отеля куда ее герой дин мориарти приводил сначала одну а потом вторую свою жену плюс нескольких случайных подружек она болталась в багажнике кадиллака валялась на замызганном столике в джазклубе пересекла америку бессчетное количество раз «в дороге» это дверь в америку которой мы не знаем откуда нам ее знать америку трассы бопа вы вообще знали раньше что это мексиканок на сезонных работах америку рейсовых автобусов бараков старых грузовиков техасских фермеров это безумное путешествие не по глубинам собственного сознания как это часто бывает а по вполне реальным ухабам и оврагам по городкам из трех домов и по грязным районам мегаполисов эта дорога не кончается никогда самый известный миф об этой книге – история о том как керуак написал ее за две недели накачанный кофе и бензедрином заправив один нескончаемый рулон бумаги в печатную машинку из дневника писателя достоверно известно что большинство диалогов и ключевых сцен были написаны им в течение нескольких лет а образы героев складывались постепенно но ведь это такая красивая легенда правда такая история создания была бы под стать «в дороге» книге с сумасшедшим ритмом несущейся на скорости больше ста миль в час написанной то страстным монологом то джазовой импровизацией впрочем импровизация эта всегда на заданную тему – тему яркой безумной проносящейся вихрем жизни чаще некрасивой и совсем не поэтичной но такой живой такой наполненной такой настоящей такой какой она должна быть,8
хорошая книга 15 июня 2006 г как и написано в предисловии сейчас лучше издать книгу о ленине написанную автором не из бывшего ссср почему потому что слишком субъективное получилось бы повествование либо в резко негативных тонах либо в духе превознесения эта книга явилась результатом большого кропотливого труда автор сумел изучить множество материалов а также построить психологический портрет как человека удивительно насколько подробно автор изложил жизнеописание никогда не живя в россии книга написана в 1964 году тем не менее многие фразы пейна типа ленин подумал вызывают недоверие а анализ ленинских текстов зачастую попросту смехотворен другими словами я думаю р пейн ленина не понял тем не менее очень интересно было прочитать столь подробную биографию владимира ильича без излишних восхвалений их я тоже не люблю больше всего меня удивила в собственно ленине это работоспособность и живучесть настолько много эффективно работать и столь долго бороться за жизнь это вызывает уважение интересно что он имел довольно большие физические нагрузки много катался на велосипеде плавал занимался гимнастикой в общем рекомендую читать эту книгу но не только её а некоторые труды ленина например государство и революция рекомендую прочитать в исходнике,8
давно а может и никогда не читала ничего подобного это такой современный ванька жуков который оказался наконец у дедушки но селедкиной мордой мне в харю тыкать всетаки продолжают с той лишь разницей что тыкают от большой почти фанатичной любви,10
никогда не понимал восторженной истерии вокруг этой книги и ее автора единственное прочитанное произведение коупленда оставила у меня впечатление набора стереотипов для соплевыжимания из экзальтированных пионэров это пустышка фэйк сентиментальный пафос вокруг ничего,4
было сложновать читать книгу потому как история никогда не бывает простой прочтите и вы просто советую,10
бунин это классика его нужно знать тем более что это интересный автор прочла сборник новелл темные аллеи наверное никогда бы этого не сделала но мне посчастливилось увидеть спектакль темные аллеи и я зажглсь единственный автор сочинение по которому я писала с огромным удовольствием,9
поражает своей реальностью ведь так на самом деле и есть в жизни очень хорошо выписан образ типичной женщиныозабоченной и страдающей от таких же проблем от которых так или иначе страдает практически вся прекрасная половина человечества главная тема данного произведения на мой взгля это то что тебя должны любить за то какая ты есть а не ту которой ты хочешь казаться но никогда не будешь,9
никогда так не переживала за героев как в этом произведении очень понравилось,10
почему никто никогда не говорил что страна чудес без тормозов и конец света мураками это настоящий киберпанк все признаки налицо хакеры мегакорпорации всякие компьютерные и цифровые штуки с интеллектом маргинальный образ жизни главного персонажа кайф только что добила эту книгу я под впечатлением очень необычно как и все у мураками до сих пор я была убеждена что охота на овец это лучшее что он написал открою свой маленький литературный секрет книги харуки читаю медленно и порционно не больше одной в год иначе если этого сумасшедшего японца читать залпом в голове остается мешанина а не странное звенящее послевкусие этот год под знаком страны чудес в общем слов нет одни эмоции,10
ничего не могу понять я хорошо отношусь к мураками но эту книгу дочитать не смогла монотонность повествования медленное раскручивание сюжета свойственная мураками никогда ранее меня не утомляла но не в этот раз мураками лучше вообще потреблять дозированно прочитав одну его книжку не стоит сразу же хвататься за другую от этого только усиливается впечатление что он везде одинаковый однообразный но иногда очень созвучный настроению,4
в свое время книга произвела на меня большое впечатление читала запоем но если бы вначале прочитала аннотацию представленную здесь наверно никогда бы не заинтересовалась ею хотя в принципе описание верное но несколько поверхностное эта книга чтото гораздо большее в общем не люблю американских писателей но эта очень сильно зацепила,9
моя настольная книганичего более интереснее я никогда в жизни не читалабольшой поклон автору за это замечательное творениене советую читатьабсолютно на любителяс нестандартным мышлением,10
рассуждения автора о религии и о библии очень примитивны вероятно они расчитаны на школьников младших классов воспитывающихся в неверующих семьях основная сюжетная линия находка какихто дополнительных сведений о жизни иисуса христа и издание обновлённого нового завета который якобы укрепит угасающую в мире веру совершенно не имеет смысла борьба между фанатичным реформатором вроомом раньше таких называли еретиками и обновителями библии еретикамиэрудитами и весьма несимпатичными личностями просто смешна религиозностью автор считает веру в чудеса это и в магизме и чернокнижии есть согласие с историчностью христа а в этом никто и так не сомневается и никогда не сомневался веру в благотворительность и в счастье людей на земле коммунисты тоже чтото подобное кажется проповедывали а где главное ни разу в этой толстой книге не упомянуто слово грех а зато эротика и секс представлены есть а где про борьбу со страстями которые владеют людьми и мучают их а не борющихся с ними приведут к вечной гибели о чём как раз и учит христос персонажи этой книги и положительные и отрицательные наоборот очень охотно и с наслаждением предаются своим страстишкам тут и там потрахаться пословоблудить выпить закурить сделать гадость ближнему все явления нашего гибнущего мира прославляются и пиарятся в констексте и духе данного литературного произведенния во всю силу нездорового духа автора,2
никогда не надоест можно начать с любой страницы все актуально сатира на высшем уровне герои описаны так что их видишь авторы художники с большой буквы,10
блестящая вещь лучшая у хайнлайна никогда не читал ее как чистый экшн воспринимается именно как концептуальная вещь причем сильнее чем куда более нашумевший чужой среди чужих изложение основного содержания понятия человечность по хайнлайну просто но прочно хотя очень близко к фашизму по духу к наиболее привлекательным нелюдоедским моментам и это тоже сильно,10
просто чудо книга из серии никогда не сдавайся,10
чрезвычайно приятный текст добротный язык почеловечески хорошая история признаюсь что до этой книги я никогда не задумывался о том как мы заселяли колонизировали свою страну язычники хороши а епископ иона и просто великолепен в своем душегубстве,8
я именно таким и педставляю себе нормальный любовный роман здесь рыцарство любовь и власть и между этими понятиями никогда не ставится знак равенства надо выбирать чтото одно иметь привязанности это непозволительная роскошь только если для простолюдинов рядом только врагиэто позволяет держать их на глазах настороженность 24 часа в суткиесли повезёт проживёшь еще день рыцарство подразумевает что хозяин вправе распорядиться твоей жизнью и честью замечательная вещь только один недостаток продолжениеблагородный разбойник не поддержало эту планку,10
книга действительно уже никогда не отпустит после прочтения,10
сегодня прочитала эту книгу впервые чесно говоря не понимаю о чём вы тут говорите это замечательная книга то о чём говрил newcomer меня тоже не коснулось мне было всё понятно и если бы я не знала в каком году написана эта книга я бы никогда не увидела там другой эпохи книга заметно опередила своё время и я нашла там не только сатиру но и пищу для размышлений описанная в третьей части контрамоция это же просто феноменальная идея не знаю может через несколько лет и меня начнёт воротить от этой книги но сейчас я просто счастлива что мне её порекомендовали,10
никогда не понимала прелести боя быка и тореадора мне казалось это простым убийством животного и жестоким развлечением а у хеменгуэя красота достоинство некое таинство для посвященных весь роман наполнен теплым винным воздухом желтой пылью запахом кофе моря и спокойствия,8
актёр который легко играет героевлюбовников но без бумажки сразу жухнет и не может связать двух слов телефонистка которая никогда ни в кого не влюблялась зная воннегута финал можно и угадать но лучше прочитать чтобы уж знать наверняка очень добрый рассказ жаль что такой короткий,9
читал давно но помню до сих пор а эпиграф наверно не забуду никогда земля рождена в час быка как мне хватило терпения дочитать это произведение не могу понять читалось достаточно тяжело когда читал проводились некие ассоциации с описанием светлого коммунистического будущего ссср и китайской народной республики времен имератора маотем не менее очень хорошо зацепило одно из лучших произведений автора,8
